PLAYER,,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,TEAM STATUS,CAP SPACE,RAT 365,NO TRADE,RESTRICTIONS,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,NOT AGGREGATED,POISON PILL,EXCEPTION,TAX ROOM,OUT?,REASON,LOGO,HEADSHOT,POSITION,AGE,GAMES,END,TOTAL GUARANTEED,TRADE KICKER,UNLIKELY BONUS,NO TRADE TO,TEAM,SALARIES,CAP HOLDS,DEAD MONEY,CAP SPACE,CAP SPACE NO HOLDS,TAX LIMIT,TAX APRON,PLAYERS,FULL TIME,TWO-WAYS,GUARANTEED,10-DAY,NOT G,CAP HOLD ROSTER,ACTIVE SALARIES (CH),DEAD MONEY,CAP HOLD,CAP SPACE,TAX,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,STATUS,,TRADE EXCEPTION,DATE,VALUE,,DRAFT TEAM,ROUND,DRAFT YEAR,SURE PICK?,NOTES,LINKED TO,,DRAFT RIGHTS,DRAFTED YEAR,TEAM RIGHTS,,Jonathan Kuminga,,Out,Left Knee Bone Bruise,,,Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,,,,,,,Cole Anthony,Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,,,TEAM,SALARIES,CAP HOLDS,DEAD MONEY,CAP SPACE,CAP SPACE NO HOLDS,TAX LIMIT,TAX APRON,PLAYERS,FULL TIME,TWO-WAYS,GUARANTEED,10-DAY,NOT G,CAP HOLD ROSTER,ACTIVE SALARIES (CH),DEAD MONEY,CAP HOLD,CAP SPACE,TAX,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,,TEAM,WAIVED,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
CJ McCollum,,Atlanta,"$30,666,666","$30,666,666",GUARANTEED,,,,BELOW TAX,"-$31,967,541",12.83,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,SG,34-267,82,2026,"$30,666,666",,,Washington,Atlanta,"$180,372,060",$0,"$6,242,481","-$31,944,541","-$31,944,541","-$1,280,459","$186,614,541",18,15,3,15,0,0,$0,"$180,372,060","$6,242,481","$186,614,541","-$31,967,541","$1,032,679","$9,082,679",HC 1st,"$20,961,679",,BELOW TAX,,Atlanta,02/04/2027,"$11,000,000",,Atlanta,1st,2026,YES,"Best between worst of ATL and SAS, and worst between CLE and best of UTA (protected 9-30) and MIN",,,Augusto Binelli,1986,Atlanta,,Dyson Daniels,,Available,Right Ankle Inflammation,,,Keaton Wallace,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png,Atlanta,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,,,,Keaton Wallace,Keaton Wallace,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png,,,Atlanta,"$122,018,190","$2,545,740","$6,242,481","$23,863,589","$26,409,329","-$59,634,329","$2,994,668",11,10,1,9,0,1,"$2,545,740","$122,018,190",$0,"$122,018,190","$32,628,810","$65,876,810","$73,926,810",,"$85,805,810",,,TEAM,PLAYER,SALARY 25-26,SALARY 26-27,SALARY 27-28,SALARY 28-29,SALARY 29-30,SALARY 30-31
Jalen Johnson,,Atlanta,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,BELOW TAX,"-$31,967,541",18.33,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png,SF,24-176,78,2030,"$150,000,000",,,,Boston,"$187,416,191",$0,"$469,063","-$33,215,254","-$33,215,254","-$9,746","$187,885,254",16,15,1,15,0,0,$0,"$187,416,191","$469,063","$187,885,254","-$33,238,254","$9,746","$8,059,746",,"$19,938,746",,BELOW TAX,,Atlanta,07/06/2026,"$6,700,000",,Atlanta,1st,2026,YES,Best between MIL and NOP,,,Abdul Shamsid-Deen,1990,Oklahoma City,,Jalen Johnson,,Available,Left Knee Inflammation,,,Caleb Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,Boston,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bos/bos_primary-icon.jpg,,,,Caleb Martin,Caleb Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,,,Boston,"$172,968,312",$0,"$469,063","-$18,767,375","-$18,767,375","-$14,457,625","$48,171,372",14,14,0,14,0,0,$0,"$172,968,312",$0,"$172,968,312","-$18,321,312","$14,926,688","$22,976,688",,"$34,855,688",,,Atlanta,Duop Reath,"$2,221,677",,,,,
Jonathan Kuminga,,Atlanta,"$23,799,569","$23,799,569",GUARANTEED,"$24,300,000",$0,TEAM OPT,BELOW TAX,"-$31,967,541",4.97,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630228.png,SF,23-249,42,2027,"$23,799,569",15,,Golden State,Brooklyn,"$126,082,200",$0,"$24,910,956","$3,676,843","$3,676,843","-$36,901,843","$150,993,157",18,15,3,15,0,0,$0,"$126,082,200","$24,910,956","$150,993,157","$3,653,843","$36,725,392","$44,180,792",,"$56,059,792",HC 2nd,CAP SPACE,,Atlanta,09/14/2026,"$4,503,720",,Atlanta,1st,2027,,Worst between MIL and NOP (if either or both are 5-30),,,Ron Ellis,1992,Phoenix,,Zaccharie Risacher,,Available,Left Quad Contusion,,,Jalen Pickett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629618.png,Brooklyn,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,,,,Jalen Pickett,Jalen Pickett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629618.png,,,Brooklyn,"$105,787,242",$0,"$24,910,956","$23,971,802","$23,971,802","-$57,196,802","$5,432,195",13,13,0,12,0,1,$0,"$105,787,242",$0,"$105,787,242","$48,859,758","$82,107,758","$89,563,158",,"$101,442,158",,,Atlanta,N'Faly Dante,"$2,048,494",,,,,
Nickeil Alexander-Walker,,Atlanta,"$15,161,800","$15,161,800",GUARANTEED,"$14,403,710","$14,403,710",GUARANTEED,BELOW TAX,"-$31,967,541",14.71,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,SG,27-283,84,2029,"$60,647,200",7.5,,,Charlotte,"$154,497,268",$0,"$29,309,090","-$29,136,358","-$29,136,358","-$4,088,642","$183,806,358",18,15,3,15,0,0,$0,"$154,497,268","$29,309,090","$183,806,358","-$29,159,358","$4,088,642","$10,805,309",HC 1st,"$22,684,309",,BELOW TAX,,Atlanta,02/01/2027,"$2,349,578",,Atlanta,1st,2028,YES,"Best between ATL, and worst between UTA and CLE",,,Marcelo Nicola,1993,Portland,,Jayson Tatum,,Out,Right Achilles Repair,,,Nique Clifford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642363.png,Charlotte,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,,,,Nique Clifford,Nique Clifford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642363.png,,,Charlotte,"$144,586,157",$0,"$29,309,090","-$19,225,247","-$19,225,247","-$13,999,753","$48,629,244",15,13,2,13,0,0,$0,"$144,586,157",$0,"$144,586,157","$10,060,843","$43,308,843","$51,358,843",,"$63,237,843",,,Atlanta,Nikola Djurisic,"$1,272,870",,,,,
Onyeka Okongwu,,Atlanta,"$15,000,000","$15,000,000",GUARANTEED,"$16,120,000","$16,120,000",GUARANTEED,BELOW TAX,"-$31,967,541",12.59,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630168.png,C,25-183,80,2028,"$48,000,000",,,,Chicago,"$166,164,036",$0,"$16,916,687","-$28,410,723","-$28,410,723","-$4,814,277","$183,080,723",18,15,3,15,0,0,$0,"$166,164,036","$16,916,687","$183,080,723","-$28,433,723","$4,814,277","$10,914,278",HC 1st,"$22,793,278",,BELOW TAX,,Atlanta,01/08/2027,"$1,357,994",,Atlanta,1st,2029,YES,Own pick,,,Andrei Fetisov,1994,Milwaukee,,Sam Hauser,,Available,Low Back Spasm,,,Kobe Sanders,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642920.png,Chicago,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/chi/chi_primary-icon.jpg,,,,Kobe Sanders,Kobe Sanders,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642920.png,,,Chicago,"$90,549,265","$2,545,740","$16,916,687","$44,658,308","$47,204,048","-$80,429,048","-$17,800,051",10,10,0,10,0,0,"$2,545,740","$90,549,265",$0,"$90,549,265","$64,097,735","$97,345,735","$103,445,736",,"$115,324,736",,,Atlanta,Caleb Houstan,"$1,117,089",,,,,
Corey Kispert,,Atlanta,"$13,975,000","$13,975,000",GUARANTEED,"$13,975,000","$13,975,000",GUARANTEED,BELOW TAX,"-$31,967,541",4.53,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png,SF,27-101,63,2029,"$41,000,000",,,Washington,Cleveland,"$211,979,654",$0,"$424,672","-$57,734,326","-$57,734,326","$24,509,326","$212,404,326",18,15,3,15,0,0,$0,"$211,979,654","$424,672","$212,404,326","-$57,757,326","-$24,451,712","-$16,401,712",,"-$4,522,712",,2ND APRON,,Boston,02/04/2027,"$27,678,571",,Atlanta,1st,2030,YES,Own pick,,,Rashard Griffith,1995,Orlando,,Neemias Queta,,Available,Right Ankle Sprain,,,Max Shulga,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642917.png,Cleveland,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cle/cle_primary-icon.jpg,,,,Max Shulga,Max Shulga,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642917.png,,,Cleveland,"$190,379,881","$1,272,870","$424,672","-$37,407,423","-$36,134,553","$2,909,553","$65,538,550",13,11,2,11,0,0,"$1,272,870","$190,379,881","$424,672","$190,804,553","-$36,157,553","-$2,909,553","$5,140,447",,"$17,019,447",,,Atlanta,Jacob Toppin,"$180,160",,,,,
Zaccharie Risacher,,Atlanta,"$13,197,720","$13,197,720",GUARANTEED,"$13,826,040","$16,120,000",GUARANTEED,BELOW TAX,"-$31,967,541",6.13,,,"$9,082,679",HC 1st,"$20,961,679",,,,Rookie Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642258.png,SF,21-65,70,2028,"$27,023,760",,,,Dallas,"$174,224,556",$0,"$10,343,186","-$29,897,742","-$29,897,742","-$3,327,258","$184,567,742",18,15,3,15,0,0,$0,"$174,224,556","$10,343,186","$184,567,742","-$29,920,742","$3,068,466","$7,902,900",,"$19,781,900",HC 2nd,BELOW TAX,,Boston,08/26/2026,"$8,200,000",,Atlanta,1st,2031,YES,Own pick,,,George Banks,1995,Miami,,Michael Porter,,Out,Right Knee Tendinitis,,,Nolan Traore,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642849.png,Dallas,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/dal/dal_primary-icon.jpg,,,,Nolan Traore,Nolan Traore,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642849.png,,,Dallas,"$146,737,736","$1,272,870","$10,343,186","-$3,683,792","-$2,410,922","-$30,814,078","$31,814,919",13,11,2,11,0,0,"$1,272,870","$146,737,736","$3,211,216","$149,948,952","$4,698,048","$37,946,048","$44,212,580",,"$56,091,580",,,Atlanta,Malik Williams,"$43,870",,,,,
Gabe Vincent,,Atlanta,"$11,500,000","$11,500,000",GUARANTEED,,,,BELOW TAX,"-$31,967,541",2.23,,,"$9,082,679",HC 1st,"$20,961,679",,,,Mid-Level Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png,PG,29-363,59,2026,"$11,500,000",,,LA Lakers,Denver,"$187,214,031",$0,$0,"-$32,544,031","-$32,544,031","-$680,969","$187,214,031",18,15,3,15,0,0,$0,"$187,214,031",$0,"$187,214,031","-$32,567,031","$680,969","$3,935,860",,"$15,814,860",,BELOW TAX,,Boston,07/07/2026,"$4,721,429",,Atlanta,1st,2032,YES,Own pick,,,Eurelijus Zukauskas,1995,Milwaukee,,Noah Clowney,,Out,Left Ankle Sprain,,,Isaiah Collier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642268.png,Denver,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/den/den_primary-icon.jpg,,,,Isaiah Collier,Isaiah Collier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642268.png,,,Denver,"$203,396,723","$2,545,740",$0,"-$51,272,463","-$48,726,723","$15,501,723","$78,130,720",11,10,1,9,0,1,"$2,545,740","$203,396,723",$0,"$203,396,723","-$48,749,723","-$15,501,723","-$12,246,832",,"-$367,832",,,Atlanta,Eli Ndiaye,"$318,218",,,,,
Buddy Hield,,Atlanta,"$9,219,512","$9,219,512",GUARANTEED,"$9,658,536","$3,000,000",NOT G,BELOW TAX,"-$31,967,541",3.40,,,"$9,082,679",HC 1st,"$20,961,679",,,,Bird Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,SG,33-177,53,2028,"$15,355,876",,,Golden State,Detroit,"$176,645,353",$0,"$9,337,154","-$31,312,507","-$31,312,507","-$1,912,493","$185,982,507",17,15,2,15,0,0,$0,"$176,645,353","$9,337,154","$185,982,507","-$31,335,507","$2,079,358","$9,132,754",HC 1st,"$21,011,754",,BELOW TAX,,Boston,02/04/2027,"$2,546,675",,Atlanta,2nd,2026,YES,"Worst between BOS, and best between IND and MIA",,,Doron Sheffer,1996,Portland,,Nicolas Claxton,,Out,Right Hip Soreness,,,Kelly Olynyk,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203482.png,Detroit,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/det/det_primary-icon.jpg,,,,Kelly Olynyk,Kelly Olynyk,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203482.png,,,Detroit,"$109,452,253","$1,272,870","$9,337,154","$34,607,723","$35,880,593","-$69,105,593","-$6,476,596",12,11,1,9,0,2,"$1,272,870","$109,452,253",$0,"$109,452,253","$45,194,747","$78,439,351","$85,492,747",,"$97,371,747",,,Atlanta,Caleb Houstan,"$392,491",,,,,
Dyson Daniels,,Atlanta,"$7,707,709","$7,707,709",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,BELOW TAX,"-$31,967,541",13.41,,,"$9,082,679",HC 1st,"$20,961,679",,,"$21,541,542",Mid-Level Exception,"$1,032,679",,,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png,PG,23-87,82,2030,"$107,707,709",,,,Golden State,"$204,850,562",$0,"$263,940","-$50,444,502","-$50,444,502","$17,219,502","$205,114,502",18,15,3,15,0,0,$0,"$204,850,562","$263,940","$205,114,502","-$50,467,502","-$17,219,502","-$9,595,427",,"$2,283,573",HC 2nd,1ST APRON,,Boston,02/04/2027,"$2,546,674",,Atlanta,2nd,2027,YES,Own pick,,,Alain Digbeu,1997,Atlanta,,Coby White,,Out,Left Calf Strain,,,Tyler Herro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629639.png,Golden State,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/gsw/gsw_primary-icon.jpg,,,,Tyler Herro,Tyler Herro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629639.png,,,Golden State,"$181,479,536","$3,818,610","$263,940","-$30,892,085","-$27,073,475","-$6,151,525","$56,477,472",11,9,2,9,0,0,"$3,818,610","$181,479,536",$0,"$181,479,536","-$26,832,536","$6,415,465","$14,039,540",,"$25,918,540",,,Boston,Charles Bassey,"$282,926",,,,,
